     Pays de destination,Date,Value
 VI. PAYS NON SPECIFIES,2003-07-01,100.6
TOTAL,2003-07-01,16760.6
  I. EUROPE,2003-08-01,4350.599999999999
   1. Union Européenne,2003-08-01,4109.799999999999
     Allemagne,2003-08-01,361.7
     Belgique - Luxembourg,2003-08-01,2387.1
     Danemark,2003-08-01,259.0
     Espagne,2003-08-01,2.2
     France,2003-08-01,427.5
     Grèce,2003-08-01,16.3
     Irlande,2003-08-01,0.0
     Italie,2003-08-01,275.1
     Pays-Bas,2003-08-01,362.0
     Portugal,2003-08-01,0.0
     Roumanie,2003-08-01,0.0
     Autres pays de l'U.E.,2003-08-01,18.9
   2. AUTRES,2003-08-01,240.8
     Suisse,2003-08-01,54.9
    Turquie,2003-08-01,0.0
     Royaume-Uni,2003-08-01,185.9
     Russie,2003-08-01,0.0
     Autres pays d'Europe,2003-08-01,0.0
II. ASIE,2003-08-01,2548.7
     Arabie Saoudite,2003-08-01,181.4
     Bangladesh,2003-08-01,0.0
     Corée du Nord,2003-08-01,0.0
     Corée du Sud,2003-08-01,19.3
     Emirats Arabes Unis,2003-08-01,0.0
     Hong-Kong,2003-08-01,29.2
     Iran,2003-08-01,0.0
     Japon,2003-08-01,637.9
     Pakistan,2003-08-01,0.0
     Rép. Pop. de Chine,2003-08-01,258.5
     Taiwan,2003-08-01,43.7
     Union Indienne,2003-08-01,847.7
     Autres pays d'Asie,2003-08-01,531.0
III. AFRIQUE,2003-08-01,5078.6
     Afrique du Sud,2003-08-01,361.3
     Djibouti,2003-08-01,0.0
     Kenya,2003-08-01,1569.9
     Ouganda,2003-08-01,186.1
     R.D.C. (1),2003-08-01,44.9
     Rwanda,2003-08-01,29.5
     Tanzanie,2003-08-01,1401.3
     Zambie,2003-08-01,1340.7
     Zimbabwe,2003-08-01,37.8
     Autres pays d'Afrique,2003-08-01,107.1
 IV. AMERIQUE,2003-08-01,407.0
     Etats-Unis ,2003-08-01,78.7
     Canada,2003-08-01,147.1
     Autres pays d'Amérique,2003-08-01,181.2
  V. OCEANIE,2003-08-01,0.0
     Australie,2003-08-01,0.0
     Autres pays de l'Océanie,2003-08-01,0.0
 VI. PAYS NON SPECIFIES,2003-08-01,13.8
TOTAL,2003-08-01,12398.699999999997
  I. EUROPE,2003-09-01,4653.0
   1. Union Européenne,2003-09-01,3953.3
     Allemagne,2003-09-01,352.9
     Belgique - Luxembourg,2003-09-01,2173.1
     Danemark,2003-09-01,679.9
     Espagne,2003-09-01,0.0
     France,2003-09-01,334.9
     Grèce,2003-09-01,17.3
     Irlande,2003-09-01,0.0
     Italie,2003-09-01,284.5
     Pays-Bas,2003-09-01,110.7
     Portugal,2003-09-01,0.0
     Roumanie,2003-09-01,0.0
     Autres pays de l'U.E.,2003-09-01,0.0
   2. AUTRES,2003-09-01,699.7
     Suisse,2003-09-01,60.2
    Turquie,2003-09-01,0.0
     Royaume-Uni,2003-09-01,263.0
     Russie,2003-09-01,243.0
     Autres pays d'Europe,2003-09-01,133.5
II. ASIE,2003-09-01,3630.4999999999995
